936136.ARRT01000006_gene4939,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,98.9
936136.ARRT01000006_gene2432,groL3,60&nbsp;kDa&nbsp;chaperonin&nbsp;3,77.1
936136.ARRT01000006_gene1854,ARRT01000006_gene1854,annotation&nbsp;not&nbsp;available,77.1
936136.ARRT01000006_gene3427,ARRT01000006_gene3427,annotation&nbsp;not&nbsp;available,77.1
936136.ARRT01000004_gene6471,ARRT01000004_gene6471,annotation&nbsp;not&nbsp;available,77.0
936136.ARRT01000003_gene6370,ARRT01000003_gene6370,annotation&nbsp;not&nbsp;available,77.0
936136.ARRT01000004_gene6562,ARRT01000004_gene6562,annotation&nbsp;not&nbsp;available,77.0
936136.ARRT01000006_gene4457,ARRT01000006_gene4457,annotation&nbsp;not&nbsp;available,77.0
936136.ARRT01000006_gene6113,ARRT01000006_gene6113,Coenzyme&nbsp;A&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;CoaBC,77.0
936136.ARRT01000002_gene610,ARRT01000002_gene610,annotation&nbsp;not&nbsp;available,77.0
936136.ARRT01000006_gene3816,uvrB,UvrABC&nbsp;system&nbsp;protein&nbsp;B,77.0
936136.ARRT01000006_gene5057,ARRT01000006_gene5057,annotation&nbsp;not&nbsp;available,77.0
936136.ARRT01000006_gene5623,ARRT01000006_gene5623,annotation&nbsp;not&nbsp;available,76.9
936136.ARRT01000006_gene3525,ARRT01000006_gene3525,annotation&nbsp;not&nbsp;available,76.9
936136.ARRT01000006_gene1721,ARRT01000006_gene1721,annotation&nbsp;not&nbsp;available,76.9
936136.ARRT01000006_gene5688,acsA,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,76.9
936136.ARRT01000006_gene2820,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,76.9
936136.ARRT01000004_gene6506,ARRT01000004_gene6506,annotation&nbsp;not&nbsp;available,76.9
936136.ARRT01000006_gene2639,parC,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;A,76.9
936136.ARRT01000006_gene1811,ARRT01000006_gene1811,annotation&nbsp;not&nbsp;available,76.9
936136.ARRT01000007_gene1233,ARRT01000007_gene1233,annotation&nbsp;not&nbsp;available,76.9
936136.ARRT01000006_gene3125,ARRT01000006_gene3125,annotation&nbsp;not&nbsp;available,76.8
936136.ARRT01000006_gene2857,ARRT01000006_gene2857,annotation&nbsp;not&nbsp;available,76.8
936136.ARRT01000006_gene4504,ARRT01000006_gene4504,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;proteolytic&nbsp;subunit,76.8
936136.ARRT01000006_gene3626,ARRT01000006_gene3626,annotation&nbsp;not&nbsp;available,76.8
936136.ARRT01000006_gene4653,ARRT01000006_gene4653,annotation&nbsp;not&nbsp;available,76.8
936136.ARRT01000006_gene3635,ARRT01000006_gene3635,annotation&nbsp;not&nbsp;available,76.8
936136.ARRT01000006_gene2813,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,76.8
936136.ARRT01000006_gene1373,ARRT01000006_gene1373,annotation&nbsp;not&nbsp;available,76.8
936136.ARRT01000006_gene5310,ARRT01000006_gene5310,annotation&nbsp;not&nbsp;available,76.8
936136.ARRT01000006_gene3768,ARRT01000006_gene3768,annotation&nbsp;not&nbsp;available,76.7
936136.ARRT01000006_gene5516,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,76.7
936136.ARRT01000003_gene6330,ARRT01000003_gene6330,Ribokinase,76.7
936136.ARRT01000003_gene6366,ARRT01000003_gene6366,annotation&nbsp;not&nbsp;available,76.7
936136.ARRT01000006_gene3524,ARRT01000006_gene3524,annotation&nbsp;not&nbsp;available,76.7
936136.ARRT01000006_gene2666,himA,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;alpha,76.6
936136.ARRT01000006_gene5601,mtgA,Biosynthetic&nbsp;peptidoglycan&nbsp;transglycosylase,76.6
936136.ARRT01000004_gene6439,ARRT01000004_gene6439,annotation&nbsp;not&nbsp;available,76.6
936136.ARRT01000006_gene2004,ARRT01000006_gene2004,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;1,76.6
936136.ARRT01000004_gene6546,ARRT01000004_gene6546,annotation&nbsp;not&nbsp;available,76.6
936136.ARRT01000004_gene6515,ARRT01000004_gene6515,annotation&nbsp;not&nbsp;available,76.6
936136.ARRT01000004_gene6578,ARRT01000004_gene6578,annotation&nbsp;not&nbsp;available,76.6
936136.ARRT01000006_gene2912,ilvA,L-threonine&nbsp;dehydratase,76.6
936136.ARRT01000004_gene6459,ARRT01000004_gene6459,annotation&nbsp;not&nbsp;available,76.6
936136.ARRT01000006_gene1343,ARRT01000006_gene1343,annotation&nbsp;not&nbsp;available,76.6
936136.ARRT01000006_gene5683,purH,annotation&nbsp;not&nbsp;available,76.5
936136.ARRT01000006_gene5519,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,76.5
936136.ARRT01000006_gene5285,ARRT01000006_gene5285,annotation&nbsp;not&nbsp;available,76.5
936136.ARRT01000006_gene5909,pncB,Nicotinate&nbsp;phosphoribosyltransferase,76.5
936136.ARRT01000006_gene3164,ARRT01000006_gene3164,annotation&nbsp;not&nbsp;available,76.5
936136.ARRT01000006_gene3805,ARRT01000006_gene3805,Formate&nbsp;dehydrogenase,76.5
936136.ARRT01000006_gene1695,ARRT01000006_gene1695,annotation&nbsp;not&nbsp;available,76.4
936136.ARRT01000002_gene275,ARRT01000002_gene275,annotation&nbsp;not&nbsp;available,76.4
936136.ARRT01000001_gene79,ARRT01000001_gene79,annotation&nbsp;not&nbsp;available,76.4
936136.ARRT01000006_gene6131,ARRT01000006_gene6131,annotation&nbsp;not&nbsp;available,76.4
936136.ARRT01000003_gene6310,ARRT01000003_gene6310,annotation&nbsp;not&nbsp;available,76.4
936136.ARRT01000006_gene6028,ARRT01000006_gene6028,annotation&nbsp;not&nbsp;available,76.4
936136.ARRT01000006_gene5834,ARRT01000006_gene5834,annotation&nbsp;not&nbsp;available,76.4
936136.ARRT01000006_gene1458,ARRT01000006_gene1458,annotation&nbsp;not&nbsp;available,76.3
936136.ARRT01000006_gene2145,ARRT01000006_gene2145,annotation&nbsp;not&nbsp;available,76.3
936136.ARRT01000006_gene2810,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,76.3
936136.ARRT01000007_gene1002,ARRT01000007_gene1002,annotation&nbsp;not&nbsp;available,76.3
936136.ARRT01000006_gene1482,ARRT01000006_gene1482,annotation&nbsp;not&nbsp;available,76.3
936136.ARRT01000006_gene4883,ARRT01000006_gene4883,annotation&nbsp;not&nbsp;available,76.2
936136.ARRT01000006_gene2527,dapA,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,76.2
936136.ARRT01000006_gene1982,ARRT01000006_gene1982,annotation&nbsp;not&nbsp;available,76.2
936136.ARRT01000006_gene1391,ARRT01000006_gene1391,annotation&nbsp;not&nbsp;available,76.2
936136.ARRT01000006_gene5195,ARRT01000006_gene5195,annotation&nbsp;not&nbsp;available,76.1
936136.ARRT01000006_gene1486,ARRT01000006_gene1486,annotation&nbsp;not&nbsp;available,76.1
936136.ARRT01000006_gene2835,ilvD,annotation&nbsp;not&nbsp;available,76.1
936136.ARRT01000006_gene1608,ARRT01000006_gene1608,annotation&nbsp;not&nbsp;available,76.1
936136.ARRT01000006_gene2013,thrB,annotation&nbsp;not&nbsp;available,76.0
936136.ARRT01000006_gene3390,ARRT01000006_gene3390,annotation&nbsp;not&nbsp;available,76.0
936136.ARRT01000006_gene3424,ARRT01000006_gene3424,annotation&nbsp;not&nbsp;available,76.0
936136.ARRT01000006_gene5439,ARRT01000006_gene5439,annotation&nbsp;not&nbsp;available,76.0
936136.ARRT01000006_gene3597,ARRT01000006_gene3597,annotation&nbsp;not&nbsp;available,76.0
936136.ARRT01000004_gene6469,ARRT01000004_gene6469,annotation&nbsp;not&nbsp;available,76.0
936136.ARRT01000006_gene3062,ARRT01000006_gene3062,annotation&nbsp;not&nbsp;available,76.0
936136.ARRT01000001_gene60,ARRT01000001_gene60,annotation&nbsp;not&nbsp;available,75.9
936136.ARRT01000006_gene1469,ARRT01000006_gene1469,annotation&nbsp;not&nbsp;available,75.9
936136.ARRT01000006_gene1956,ARRT01000006_gene1956,annotation&nbsp;not&nbsp;available,75.9
936136.ARRT01000006_gene5699,mnmE,tRNA&nbsp;modification&nbsp;GTPase&nbsp;MnmE,75.9
936136.ARRT01000006_gene3474,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,75.9
936136.ARRT01000003_gene6255,ARRT01000003_gene6255,annotation&nbsp;not&nbsp;available,75.9
936136.ARRT01000006_gene1669,ARRT01000006_gene1669,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliN,75.9
936136.ARRT01000006_gene5403,ARRT01000006_gene5403,annotation&nbsp;not&nbsp;available,75.9
936136.ARRT01000003_gene6172,ARRT01000003_gene6172,annotation&nbsp;not&nbsp;available,75.8
936136.ARRT01000006_gene5024,hemH,Ferrochelatase,75.8
936136.ARRT01000006_gene4925,ARRT01000006_gene4925,annotation&nbsp;not&nbsp;available,75.8
936136.ARRT01000007_gene905,ARRT01000007_gene905,annotation&nbsp;not&nbsp;available,75.8
936136.ARRT01000004_gene6571,ARRT01000004_gene6571,annotation&nbsp;not&nbsp;available,75.8
936136.ARRT01000002_gene774,ARRT01000002_gene774,annotation&nbsp;not&nbsp;available,75.8
936136.ARRT01000004_gene6547,ARRT01000004_gene6547,annotation&nbsp;not&nbsp;available,75.8
936136.ARRT01000006_gene3332,ARRT01000006_gene3332,annotation&nbsp;not&nbsp;available,75.7
936136.ARRT01000006_gene1340,ARRT01000006_gene1340,annotation&nbsp;not&nbsp;available,75.7
936136.ARRT01000006_gene5755,glcB,Malate&nbsp;synthase&nbsp;G,75.7
936136.ARRT01000006_gene3857,ARRT01000006_gene3857,annotation&nbsp;not&nbsp;available,75.6
936136.ARRT01000007_gene1243,ARRT01000007_gene1243,annotation&nbsp;not&nbsp;available,75.6
936136.ARRT01000006_gene3589,ARRT01000006_gene3589,annotation&nbsp;not&nbsp;available,75.6
936136.ARRT01000006_gene5738,ARRT01000006_gene5738,annotation&nbsp;not&nbsp;available,75.6
936136.ARRT01000006_gene2289,ARRT01000006_gene2289,annotation&nbsp;not&nbsp;available,75.6
936136.ARRT01000006_gene1869,ARRT01000006_gene1869,annotation&nbsp;not&nbsp;available,75.5
936136.ARRT01000006_gene3243,ARRT01000006_gene3243,Peptidyl-prolyl&nbsp;cis-trans&nbsp;isomerase,75.5
936136.ARRT01000003_gene6377,ARRT01000003_gene6377,annotation&nbsp;not&nbsp;available,75.5
936136.ARRT01000006_gene3762,ARRT01000006_gene3762,annotation&nbsp;not&nbsp;available,75.4
936136.ARRT01000003_gene6139,ARRT01000003_gene6139,annotation&nbsp;not&nbsp;available,75.4
936136.ARRT01000006_gene6085,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,75.3
936136.ARRT01000006_gene4550,ARRT01000006_gene4550,annotation&nbsp;not&nbsp;available,75.3
936136.ARRT01000006_gene3428,sufC,annotation&nbsp;not&nbsp;available,75.3
936136.ARRT01000007_gene966,ARRT01000007_gene966,annotation&nbsp;not&nbsp;available,75.3
936136.ARRT01000006_gene5097,ARRT01000006_gene5097,annotation&nbsp;not&nbsp;available,75.3
936136.ARRT01000002_gene760,ARRT01000002_gene760,annotation&nbsp;not&nbsp;available,75.3
936136.ARRT01000006_gene3983,ARRT01000006_gene3983,annotation&nbsp;not&nbsp;available,75.2
936136.ARRT01000006_gene4887,ARRT01000006_gene4887,annotation&nbsp;not&nbsp;available,75.2
936136.ARRT01000004_gene6636,ARRT01000004_gene6636,annotation&nbsp;not&nbsp;available,75.2
936136.ARRT01000006_gene3566,ARRT01000006_gene3566,annotation&nbsp;not&nbsp;available,75.1
936136.ARRT01000006_gene3516,ARRT01000006_gene3516,annotation&nbsp;not&nbsp;available,75.1
936136.ARRT01000006_gene5811,ARRT01000006_gene5811,annotation&nbsp;not&nbsp;available,75.1
936136.ARRT01000006_gene2753,ARRT01000006_gene2753,annotation&nbsp;not&nbsp;available,75.1
936136.ARRT01000006_gene2564,ARRT01000006_gene2564,annotation&nbsp;not&nbsp;available,75.0
936136.ARRT01000006_gene3685,ARRT01000006_gene3685,annotation&nbsp;not&nbsp;available,75.0
936136.ARRT01000006_gene2807,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,75.0
936136.ARRT01000002_gene877,ARRT01000002_gene877,annotation&nbsp;not&nbsp;available,75.0
936136.ARRT01000007_gene1101,ARRT01000007_gene1101,annotation&nbsp;not&nbsp;available,74.9
936136.ARRT01000004_gene6475,ARRT01000004_gene6475,annotation&nbsp;not&nbsp;available,74.9
936136.ARRT01000004_gene6638,ARRT01000004_gene6638,annotation&nbsp;not&nbsp;available,74.9
936136.ARRT01000006_gene2747,ARRT01000006_gene2747,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,74.9
936136.ARRT01000006_gene5223,prfA,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;1,74.9
936136.ARRT01000006_gene5102,ARRT01000006_gene5102,annotation&nbsp;not&nbsp;available,74.9
936136.ARRT01000006_gene5381,ARRT01000006_gene5381,annotation&nbsp;not&nbsp;available,74.8
936136.ARRT01000006_gene4059,ARRT01000006_gene4059,annotation&nbsp;not&nbsp;available,74.8
936136.ARRT01000006_gene4701,ARRT01000006_gene4701,annotation&nbsp;not&nbsp;available,74.8
936136.ARRT01000006_gene4212,ARRT01000006_gene4212,annotation&nbsp;not&nbsp;available,74.7
936136.ARRT01000007_gene1203,ARRT01000007_gene1203,annotation&nbsp;not&nbsp;available,74.7
936136.ARRT01000006_gene4197,ARRT01000006_gene4197,annotation&nbsp;not&nbsp;available,74.7
936136.ARRT01000006_gene4234,ARRT01000006_gene4234,annotation&nbsp;not&nbsp;available,74.7
936136.ARRT01000005_gene99,ARRT01000005_gene99,annotation&nbsp;not&nbsp;available,74.7
936136.ARRT01000003_gene6161,ARRT01000003_gene6161,annotation&nbsp;not&nbsp;available,74.6
936136.ARRT01000002_gene274,ARRT01000002_gene274,annotation&nbsp;not&nbsp;available,74.6
936136.ARRT01000006_gene4573,allA,Ureidoglycolate&nbsp;lyase,74.6
936136.ARRT01000006_gene2664,plsX,Phosphate&nbsp;acyltransferase,74.6
936136.ARRT01000006_gene5660,dnaE2,Error-prone&nbsp;DNA&nbsp;polymerase,74.5
936136.ARRT01000003_gene6283,ARRT01000003_gene6283,annotation&nbsp;not&nbsp;available,74.5
936136.ARRT01000006_gene4356,greA,Transcription&nbsp;elongation&nbsp;factor&nbsp;GreA,74.4
936136.ARRT01000006_gene5889,ARRT01000006_gene5889,annotation&nbsp;not&nbsp;available,74.4
936136.ARRT01000006_gene3046,ARRT01000006_gene3046,annotation&nbsp;not&nbsp;available,74.4
936136.ARRT01000006_gene5053,ARRT01000006_gene5053,annotation&nbsp;not&nbsp;available,74.4
936136.ARRT01000002_gene567,ARRT01000002_gene567,annotation&nbsp;not&nbsp;available,74.4
936136.ARRT01000007_gene948,ARRT01000007_gene948,annotation&nbsp;not&nbsp;available,74.4
936136.ARRT01000006_gene1922,ARRT01000006_gene1922,annotation&nbsp;not&nbsp;available,74.4
936136.ARRT01000006_gene3684,ARRT01000006_gene3684,"Cob(I)yrinic&nbsp;acid&nbsp;a,c-diamide&nbsp;adenosyltransferase",74.4
936136.ARRT01000006_gene1392,ARRT01000006_gene1392,Ribokinase,74.3
936136.ARRT01000002_gene526,ARRT01000002_gene526,annotation&nbsp;not&nbsp;available,74.3
936136.ARRT01000006_gene4700,ARRT01000006_gene4700,annotation&nbsp;not&nbsp;available,74.3
936136.ARRT01000007_gene1099,ARRT01000007_gene1099,annotation&nbsp;not&nbsp;available,74.3
936136.ARRT01000006_gene2537,era,GTPase&nbsp;Era,74.3
936136.ARRT01000003_gene6220,ARRT01000003_gene6220,annotation&nbsp;not&nbsp;available,74.3
936136.ARRT01000004_gene6472,ARRT01000004_gene6472,annotation&nbsp;not&nbsp;available,74.2
936136.ARRT01000007_gene1046,ARRT01000007_gene1046,annotation&nbsp;not&nbsp;available,74.2
936136.ARRT01000006_gene4559,ARRT01000006_gene4559,annotation&nbsp;not&nbsp;available,74.2
936136.ARRT01000007_gene895,ARRT01000007_gene895,annotation&nbsp;not&nbsp;available,74.2
936136.ARRT01000006_gene3181,ARRT01000006_gene3181,annotation&nbsp;not&nbsp;available,74.1
936136.ARRT01000006_gene1425,ARRT01000006_gene1425,annotation&nbsp;not&nbsp;available,74.1
936136.ARRT01000003_gene6345,ARRT01000003_gene6345,annotation&nbsp;not&nbsp;available,74.1
936136.ARRT01000006_gene5454,ARRT01000006_gene5454,annotation&nbsp;not&nbsp;available,74.0
936136.ARRT01000006_gene5435,sucC,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,74.0
936136.ARRT01000006_gene4135,ARRT01000006_gene4135,Dihydrofolate&nbsp;reductase,74.0
936136.ARRT01000006_gene1881,ARRT01000006_gene1881,annotation&nbsp;not&nbsp;available,74.0
936136.ARRT01000006_gene4228,ARRT01000006_gene4228,annotation&nbsp;not&nbsp;available,73.9
936136.ARRT01000006_gene2900,ARRT01000006_gene2900,annotation&nbsp;not&nbsp;available,73.9
936136.ARRT01000003_gene6254,ARRT01000003_gene6254,annotation&nbsp;not&nbsp;available,73.9
936136.ARRT01000006_gene5796,ARRT01000006_gene5796,annotation&nbsp;not&nbsp;available,73.9
936136.ARRT01000002_gene495,ARRT01000002_gene495,annotation&nbsp;not&nbsp;available,73.9
936136.ARRT01000002_gene434,ARRT01000002_gene434,annotation&nbsp;not&nbsp;available,73.9
936136.ARRT01000006_gene2454,ARRT01000006_gene2454,annotation&nbsp;not&nbsp;available,73.8
936136.ARRT01000006_gene2782,prfB,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;2,73.8
936136.ARRT01000006_gene2808,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,73.8
936136.ARRT01000006_gene3636,ARRT01000006_gene3636,annotation&nbsp;not&nbsp;available,73.8
936136.ARRT01000005_gene164,ARRT01000005_gene164,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],73.8
936136.ARRT01000003_gene6321,ARRT01000003_gene6321,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000006_gene5849,ARRT01000006_gene5849,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000006_gene3509,ARRT01000006_gene3509,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000007_gene954,ARRT01000007_gene954,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000006_gene2560,ARRT01000006_gene2560,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000006_gene1911,ARRT01000006_gene1911,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000004_gene6574,ARRT01000004_gene6574,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000003_gene6295,ARRT01000003_gene6295,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000006_gene4070,ARRT01000006_gene4070,annotation&nbsp;not&nbsp;available,73.7
936136.ARRT01000006_gene1585,infA,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,73.7
936136.ARRT01000006_gene2726,clpX,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;ATP-binding&nbsp;subunit&nbsp;ClpX,73.6
936136.ARRT01000004_gene6585,ARRT01000004_gene6585,annotation&nbsp;not&nbsp;available,73.6
936136.ARRT01000006_gene5518,ARRT01000006_gene5518,annotation&nbsp;not&nbsp;available,73.6
936136.ARRT01000006_gene2615,ARRT01000006_gene2615,annotation&nbsp;not&nbsp;available,73.6
936136.ARRT01000007_gene929,ARRT01000007_gene929,annotation&nbsp;not&nbsp;available,73.6
936136.ARRT01000006_gene3483,ARRT01000006_gene3483,annotation&nbsp;not&nbsp;available,73.6
936136.ARRT01000002_gene285,ARRT01000002_gene285,annotation&nbsp;not&nbsp;available,73.5
936136.ARRT01000004_gene6530,ARRT01000004_gene6530,annotation&nbsp;not&nbsp;available,73.5
936136.ARRT01000006_gene1440,ARRT01000006_gene1440,annotation&nbsp;not&nbsp;available,73.5
936136.ARRT01000003_gene6307,ARRT01000003_gene6307,annotation&nbsp;not&nbsp;available,73.5
936136.ARRT01000006_gene2031,ARRT01000006_gene2031,annotation&nbsp;not&nbsp;available,73.4
936136.ARRT01000006_gene3110,ARRT01000006_gene3110,annotation&nbsp;not&nbsp;available,73.4
936136.ARRT01000007_gene917,ARRT01000007_gene917,annotation&nbsp;not&nbsp;available,73.4
936136.ARRT01000006_gene4445,ARRT01000006_gene4445,annotation&nbsp;not&nbsp;available,73.4
936136.ARRT01000006_gene3912,ARRT01000006_gene3912,annotation&nbsp;not&nbsp;available,73.4
936136.ARRT01000003_gene6368,ARRT01000003_gene6368,annotation&nbsp;not&nbsp;available,73.3
936136.ARRT01000002_gene349,ARRT01000002_gene349,annotation&nbsp;not&nbsp;available,73.3
936136.ARRT01000002_gene461,ARRT01000002_gene461,annotation&nbsp;not&nbsp;available,73.3
936136.ARRT01000006_gene5416,ARRT01000006_gene5416,annotation&nbsp;not&nbsp;available,73.3
936136.ARRT01000006_gene5079,ARRT01000006_gene5079,annotation&nbsp;not&nbsp;available,73.3
936136.ARRT01000007_gene1098,ARRT01000007_gene1098,annotation&nbsp;not&nbsp;available,73.3
936136.ARRT01000007_gene1142,ARRT01000007_gene1142,annotation&nbsp;not&nbsp;available,73.3
936136.ARRT01000006_gene5222,prmC,Release&nbsp;factor&nbsp;glutamine&nbsp;methyltransferase,73.2
936136.ARRT01000003_gene6294,ARRT01000003_gene6294,annotation&nbsp;not&nbsp;available,73.2
936136.ARRT01000006_gene2281,ARRT01000006_gene2281,annotation&nbsp;not&nbsp;available,73.2
936136.ARRT01000006_gene1611,ARRT01000006_gene1611,annotation&nbsp;not&nbsp;available,73.2
936136.ARRT01000006_gene1743,ARRT01000006_gene1743,annotation&nbsp;not&nbsp;available,73.2
936136.ARRT01000006_gene4717,ARRT01000006_gene4717,annotation&nbsp;not&nbsp;available,73.2
936136.ARRT01000006_gene2653,ARRT01000006_gene2653,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,73.2
936136.ARRT01000007_gene926,ARRT01000007_gene926,annotation&nbsp;not&nbsp;available,73.2
936136.ARRT01000006_gene5202,ARRT01000006_gene5202,Ribonucleoside-diphosphate&nbsp;reductase,73.1
936136.ARRT01000006_gene2328,ARRT01000006_gene2328,Glucose-6-phosphate&nbsp;1-dehydrogenase,73.1
936136.ARRT01000006_gene2660,hppA,K(+)-insensitive&nbsp;pyrophosphate-energized&nbsp;proton&nbsp;pump,73.1
936136.ARRT01000003_gene6268,ARRT01000003_gene6268,annotation&nbsp;not&nbsp;available,73.1
936136.ARRT01000006_gene3981,ARRT01000006_gene3981,annotation&nbsp;not&nbsp;available,73.1
936136.ARRT01000006_gene2043,ARRT01000006_gene2043,annotation&nbsp;not&nbsp;available,73.1
936136.ARRT01000006_gene5366,ARRT01000006_gene5366,annotation&nbsp;not&nbsp;available,73.0
936136.ARRT01000006_gene1375,ARRT01000006_gene1375,annotation&nbsp;not&nbsp;available,73.0
936136.ARRT01000007_gene1139,ARRT01000007_gene1139,annotation&nbsp;not&nbsp;available,73.0
936136.ARRT01000005_gene224,ARRT01000005_gene224,annotation&nbsp;not&nbsp;available,73.0
936136.ARRT01000006_gene3599,ARRT01000006_gene3599,annotation&nbsp;not&nbsp;available,73.0
936136.ARRT01000002_gene772,ARRT01000002_gene772,annotation&nbsp;not&nbsp;available,73.0
936136.ARRT01000006_gene1725,ARRT01000006_gene1725,annotation&nbsp;not&nbsp;available,73.0
936136.ARRT01000005_gene109,ARRT01000005_gene109,annotation&nbsp;not&nbsp;available,73.0
936136.ARRT01000006_gene4034,ARRT01000006_gene4034,annotation&nbsp;not&nbsp;available,72.9
936136.ARRT01000006_gene1485,ARRT01000006_gene1485,annotation&nbsp;not&nbsp;available,72.9
936136.ARRT01000006_gene3865,ARRT01000006_gene3865,annotation&nbsp;not&nbsp;available,72.9
936136.ARRT01000006_gene4798,ARRT01000006_gene4798,annotation&nbsp;not&nbsp;available,72.9
936136.ARRT01000006_gene2540,recO,DNA&nbsp;repair&nbsp;protein&nbsp;RecO,72.9
936136.ARRT01000004_gene6619,ARRT01000004_gene6619,annotation&nbsp;not&nbsp;available,72.9
936136.ARRT01000006_gene1714,ARRT01000006_gene1714,annotation&nbsp;not&nbsp;available,72.8
936136.ARRT01000006_gene5434,sucD,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,72.8
936136.ARRT01000002_gene688,ARRT01000002_gene688,annotation&nbsp;not&nbsp;available,72.8
936136.ARRT01000006_gene4875,ARRT01000006_gene4875,annotation&nbsp;not&nbsp;available,72.8
936136.ARRT01000006_gene3920,ARRT01000006_gene3920,annotation&nbsp;not&nbsp;available,72.8
936136.ARRT01000007_gene1129,ARRT01000007_gene1129,annotation&nbsp;not&nbsp;available,72.8
936136.ARRT01000006_gene1462,ARRT01000006_gene1462,annotation&nbsp;not&nbsp;available,72.8
936136.ARRT01000006_gene4195,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine&nbsp;ligase,72.7
936136.ARRT01000006_gene5078,ARRT01000006_gene5078,annotation&nbsp;not&nbsp;available,72.7
936136.ARRT01000006_gene2777,ARRT01000006_gene2777,annotation&nbsp;not&nbsp;available,72.7
936136.ARRT01000006_gene2732,ARRT01000006_gene2732,annotation&nbsp;not&nbsp;available,72.7
936136.ARRT01000001_gene62,ARRT01000001_gene62,annotation&nbsp;not&nbsp;available,72.7
936136.ARRT01000002_gene529,ARRT01000002_gene529,annotation&nbsp;not&nbsp;available,72.7
936136.ARRT01000006_gene2767,pleD,annotation&nbsp;not&nbsp;available,72.7
936136.ARRT01000006_gene1983,ARRT01000006_gene1983,annotation&nbsp;not&nbsp;available,72.7
936136.ARRT01000004_gene6545,ARRT01000004_gene6545,annotation&nbsp;not&nbsp;available,72.6
936136.ARRT01000004_gene6635,ARRT01000004_gene6635,annotation&nbsp;not&nbsp;available,72.6
936136.ARRT01000006_gene3765,ARRT01000006_gene3765,annotation&nbsp;not&nbsp;available,72.6
936136.ARRT01000006_gene5430,ARRT01000006_gene5430,annotation&nbsp;not&nbsp;available,72.6
936136.ARRT01000006_gene2030,ARRT01000006_gene2030,annotation&nbsp;not&nbsp;available,72.6
936136.ARRT01000003_gene6347,ARRT01000003_gene6347,annotation&nbsp;not&nbsp;available,72.6
936136.ARRT01000006_gene4849,ARRT01000006_gene4849,annotation&nbsp;not&nbsp;available,72.6
936136.ARRT01000006_gene1671,ARRT01000006_gene1671,annotation&nbsp;not&nbsp;available,72.6
936136.ARRT01000002_gene723,ARRT01000002_gene723,annotation&nbsp;not&nbsp;available,72.5
936136.ARRT01000004_gene6613,ARRT01000004_gene6613,annotation&nbsp;not&nbsp;available,72.5
936136.ARRT01000006_gene2138,ARRT01000006_gene2138,annotation&nbsp;not&nbsp;available,72.5
936136.ARRT01000007_gene1126,ARRT01000007_gene1126,L-aspartate&nbsp;oxidase,72.5
936136.ARRT01000002_gene856,ARRT01000002_gene856,annotation&nbsp;not&nbsp;available,72.5
936136.ARRT01000006_gene2924,ARRT01000006_gene2924,annotation&nbsp;not&nbsp;available,72.5
936136.ARRT01000006_gene1468,ARRT01000006_gene1468,annotation&nbsp;not&nbsp;available,72.5
